glyph_id,modern_char,unicode,char_form,encoding_status,pinyin,n_points,n_strokes,stroke
1,一,4E00,in_simplified_set,unicode_encoded,yi,8,1,"8,-64,0,-10,0,12,0,-64,-64,,,,,,"
2,元,5143,in_simplified_set,unicode_encoded,yuan,30,4,"30,-64,0,-6,-13,3,-13,-64,0,-9,-9,8,-9,-64,0,-1,-9,1,2,-3,6,-3,17,-64,0,0,-6,-8,3,-64,-64,,,,,,"
3,天,5929,in_simplified_set,unicode_encoded,tian,44,6,"44,-64,0,-8,-14,7,-14,-64,0,-9,-9,10,-10,-64,0,0,-14,0,1,-4,3,-8,14,-64,0,0,1,3,4,3,15,-64,0,0,-7,-10,1,-64,0,0,-7,10,0,-64,-64,,,,,,"
4,吏,540F,in_simplified_set,unicode_encoded,li,50,6,"50,-64,0,-4,-17,-1,-10,1,-16,-64,0,-6,-9,4,-9,-64,0,-7,-15,-6,-4,-2,-3,3,-4,5,-14,-64,0,-1,-10,-3,11,-64,0,2,-1,4,5,-3,13,-64,0,-1,1,4,10,4,17,-64,-64,,,,,,"
5,上,4E0A,in_simplified_set,unicode_encoded,shang,18,2,"18,-64,0,-8,-5,6,-5,-64,0,-13,0,-5,4,4,4,11,-1,-64,-64,,,,,,"
6,帝,5E1D,in_simplified_set,unicode_encoded,di,54,8,"54,-64,0,-8,-14,8,-14,-64,0,-1,-14,-2,18,-64,0,-7,-14,-1,-5,5,-14,-64,0,-9,-8,-9,0,-64,0,-9,-4,7,-4,7,-4,-64,0,7,-8,7,2,-64,0,-1,0,-10,11,-64,0,-1,0,7,12,-64,-64,,,,,,"
7,旁,65C1,in_simplified_set,unicode_encoded,pang,56,9,"56,-64,0,-7,-14,9,-14,-64,0,-9,-9,9,-10,-64,0,-9,-14,-9,1,-64,0,7,-15,8,1,-64,0,-2,-7,-1,18,-64,0,-7,-3,-7,4,-64,0,-7,0,4,-1,-64,0,4,-4,4,3,-64,0,-1,4,6,12,-64,-64,,,,,,"
8,下,4E0B,in_simplified_set,unicode_encoded,xia,18,2,"18,-64,0,-13,-1,-5,-5,3,-5,10,-1,-64,0,-9,3,4,3,-64,-64,,,,,,"
9,示,793A,in_simplified_set,unicode_encoded,shi,20,3,"20,-64,0,-7,-12,6,-13,-64,0,-10,-8,9,-9,-64,0,-1,-8,-1,16,-64,-64,,,,,,"
10,祜,795C,in_simplified_set,unicode_encoded,hu,64,9,"64,-64,0,-9,-12,-2,-12,-64,0,-10,-8,-1,-8,-64,0,-5,-8,-5,2,-64,0,-9,-6,-9,-2,-64,0,-2,-6,-2,-3,-64,0,-2,0,8,0,-64,0,2,-5,3,-3,3,3,-64,0,-2,2,-1,10,3,12,7,10,8,2,-64,0,-2,6,7,6,-64,-64,,,,,,"
11,禮,79AE,in_simplified_set,unicode_encoded,li,106,14,"106,-64,0,-2,-15,-1,2,-64,0,-6,-13,-4,-13,-64,0,-6,-11,-3,-11,-64,0,-6,-9,-3,-9,-64,0,-5,-15,-5,-8,-64,0,0,-13,2,-13,-64,0,0,-11,3,-11,-64,0,1,-15,1,-9,-64,0,4,-15,4,-10,-64,0,-8,-14,-7,-7,-2,-4,9,-13,-64,0,-6,-1,3,-1,-64,0,-1,2,-6,4,-5,8,-2,10,1,8,3,5,-1,2,-64,0,-4,5,0,5,-64,0,-4,9,-6,14,3,14,0,9,0,9,-64,-64,,,,,,"
12,禄,7984,in_simplified_set,unicode_encoded,lu,66,10,"66,-64,0,-5,-13,6,-13,-64,0,0,-13,0,-1,-64,0,-5,-11,-5,-5,-64,0,-5,-8,5,-8,-64,0,5,-11,5,-5,-64,0,0,-1,-7,5,0,13,-64,0,0,-1,5,5,0,13,-64,0,0,2,0,7,-64,0,-11,0,-11,9,-64,0,9,-1,9,10,-64,-64,,,,,,"
13,祥,7965,in_simplified_set,unicode_encoded,xiang,70,9,"70,-64,0,-7,-8,-1,-2,4,-10,-64,0,-7,-8,-11,-6,-10,-3,-8,-4,-8,-4,-64,0,4,-10,8,-7,5,-4,-64,0,-1,-2,-1,4,-64,0,-12,-1,-1,4,11,-5,-64,0,-6,2,-6,12,1,12,-64,0,3,2,2,12,-64,0,-12,-1,-6,12,-64,0,11,-5,2,12,-64,-64,,,,,,"
14,祉,7949,in_simplified_set,unicode_encoded,zhi,46,7,"46,-64,0,-11,-11,0,-11,-64,0,-13,-7,2,-7,-64,0,-6,-7,-6,15,-64,0,-3,-4,2,11,-64,0,2,11,2,11,2,11,-64,0,3,-6,2,11,-64,0,-1,1,9,-4,-64,-64,,,,,,"
15,福,798F,in_simplified_set,unicode_encoded,fu,116,16,"116,-64,0,-12,-11,-8,-11,-64,0,-13,-9,-8,-9,-64,0,-10,-9,-10,4,-64,0,-8,-14,-2,-12,4,-12,7,-15,-64,0,-8,-7,-1,-8,4,-8,11,-7,-64,0,-2,-12,-1,-2,-64,0,4,-12,4,-2,-64,0,-5,0,-2,9,0,11,-64,0,-5,0,7,-1,5,8,0,11,-64,0,-4,3,6,2,-64,0,-3,6,5,6,-64,0,1,0,0,10,-64,0,-7,6,-6,11,-3,13,-64,0,-3,7,-7,17,-64,0,8,6,9,10,6,13,-64,0,5,7,8,17,-64,-64,,,,,,"
16,祐,7950,in_simplified_set,unicode_encoded,you,58,9,"58,-64,0,-7,-11,2,-11,-64,0,-7,-7,2,-7,-64,0,-3,-7,-3,13,-64,0,3,-13,8,-4,2,4,-64,0,2,-5,7,11,-64,0,-10,-10,-10,-4,-64,0,-8,1,-6,7,-64,0,0,2,0,6,-64,0,2,-10,3,-8,-64,-64,,,,,,"
17,祭,796D,in_simplified_set,unicode_encoded,ji,64,9,"64,-64,0,-3,-15,-10,-6,-5,-2,-5,-2,-64,0,2,-11,-5,-2,-64,0,-7,-10,-1,-7,-64,0,3,-15,9,-6,1,2,-64,0,2,-9,7,12,8,16,-64,0,-1,-16,-1,-12,-64,0,-9,3,-9,8,-64,0,-4,0,-4,4,-64,0,0,5,0,10,-64,-64,,,,,,"
18,祀,7940,in_simplified_set,unicode_encoded,si,66,8,"66,-64,0,-10,-12,-1,-13,-64,0,-13,-7,0,-9,-64,0,-6,-8,-6,14,-64,0,3,-11,1,-7,2,-5,5,-4,-64,0,3,-11,8,-11,9,-7,5,-4,-64,0,2,-5,4,-2,0,11,4,12,8,6,-64,0,-10,-4,-11,10,-11,10,-64,0,-2,-5,-1,4,-64,-64,,,,,,"
19,祖,7956,in_simplified_set,unicode_encoded,zu,52,7,"52,-64,0,-12,-9,-5,-9,-64,0,-8,-9,-8,8,-64,0,0,-14,-4,-5,-1,4,-5,13,-64,0,0,-14,6,-4,3,5,4,12,-64,0,-3,-3,5,-4,-64,0,-3,0,5,0,-64,0,-9,14,10,14,-64,-64,,,,,,"
20,祏,794F,in_simplified_set,unicode_encoded,shi,38,6,"38,-64,0,-10,-5,-1,-5,-64,0,-12,-2,1,-2,-64,0,-5,-2,-5,16,-64,0,-7,-13,8,-13,-64,0,8,-13,8,12,-64,0,-5,-13,8,-1,-64,-64,,,,,,"
21,祠,7960,in_simplified_set,unicode_encoded,ci,40,5,"40,-64,0,-6,-14,6,-13,3,-3,9,10,-64,0,-4,-9,4,-7,-64,0,-9,1,-9,9,-5,11,-2,9,-64,0,-1,-2,-2,9,-64,0,-9,5,-2,5,-64,-64,,,,,,"
22,禘,7998,in_simplified_set,unicode_encoded,di,64,10,"64,-64,0,-10,-14,8,-15,-64,0,-1,-15,-2,18,-64,0,-9,-5,-9,1,-64,0,-9,-5,7,-5,-64,0,7,-5,7,1,-64,0,-9,1,7,1,-64,0,-9,-14,-1,-7,-1,-7,-64,0,6,-15,-1,-7,-64,0,-3,1,-10,13,-64,0,1,1,7,14,-64,-64,,,,,,"
23,祝,795D,in_simplified_set,unicode_encoded,zhu,78,10,"78,-64,0,-10,-3,0,-3,-64,0,-5,-3,-5,7,-64,0,-7,-1,-8,7,-64,0,-3,0,-1,6,-64,0,-6,-11,-5,-6,-64,0,-1,-16,1,-9,4,-8,-64,0,6,-16,6,-10,4,-8,-64,0,0,-13,6,-14,-64,0,4,-8,1,0,3,7,-64,0,4,-8,6,4,1,9,1,13,7,8,6,14,5,17,-64,-64,,,,,,"
24,祓,7953,traditional_or_variant,unicode_encoded,fu,80,12,"80,-64,0,-1,-11,-1,1,-64,0,-4,-10,-1,-6,-64,0,2,-11,-1,-6,-64,0,-1,-6,-6,0,-64,0,-1,-6,3,0,-64,0,-4,4,2,4,-64,0,-6,7,4,7,-64,0,-1,7,-1,18,-64,0,-5,-14,-7,-10,-5,-6,-64,0,-7,-16,-6,-11,-5,-10,-64,0,5,-16,6,-12,3,-8,-64,0,3,-13,6,-8,-64,-64,,,,,,"
25,祈,7948,in_simplified_set,unicode_encoded,qi,90,12,"90,-64,0,-6,-12,3,-15,-3,-3,-64,0,-4,-16,-2,-13,-3,-9,-64,0,-8,-8,-10,-5,-7,-4,-64,0,-8,-8,-5,-6,-7,-4,-64,0,5,-11,1,-6,2,-3,-64,0,5,-11,6,-6,2,-3,-64,0,-7,-4,-1,0,2,-3,-64,0,-8,0,6,0,-64,0,-1,0,-1,18,-64,0,-8,0,-7,5,-7,5,-64,0,-8,5,5,5,-64,0,6,0,5,5,-64,-64,,,,,,"
26,禦,79A6,traditional_or_variant,unicode_encoded,yu,78,11,"78,-64,0,-9,-15,-2,-15,-64,0,-11,-12,-1,-12,-64,0,-6,-12,-6,-1,-64,0,-10,-8,-10,-3,-64,0,-3,-9,-3,-5,-64,0,-2,-6,1,-6,-64,0,-3,-2,2,-2,-64,0,-1,-11,-1,-1,-64,0,2,-15,7,2,1,7,-64,0,1,7,2,11,7,7,6,13,1,18,-64,0,4,-6,3,-1,3,4,-64,-64,,,,,,"
27,禍,798D,in_simplified_set,unicode_encoded,huo,48,7,"48,-64,0,-7,-13,-4,-7,-9,14,-64,0,5,-15,2,-7,7,15,-64,0,-4,-7,2,-7,-64,0,-4,-4,3,-2,-64,0,-1,-1,-1,11,-64,0,-6,1,-1,5,-64,0,-9,14,7,15,-64,-64,,,,,,"
28,祟,795F,in_simplified_set,unicode_encoded,sui,46,7,"46,-64,0,2,-16,-8,-5,-64,0,-4,-16,1,-9,-1,18,-64,0,1,-9,8,-2,-64,0,1,-3,8,3,-64,0,0,6,7,13,-64,0,0,6,-8,13,-64,0,1,-3,-9,5,-64,-64,,,,,,"
29,禫,79AB,in_simplified_set,unicode_encoded,dan,82,13,"82,-64,0,-10,-13,-2,-13,-64,0,-12,-9,-1,-9,-64,0,-6,-9,-7,4,-64,0,1,-9,2,-3,-64,0,-4,-7,0,-3,5,-3,-64,0,5,-3,8,-8,-64,0,-5,2,8,2,-64,0,0,-3,-1,2,-64,0,5,-3,5,2,-64,0,-5,2,2,15,-64,0,8,2,2,15,-64,0,5,2,-1,9,-64,0,-1,1,4,10,-64,-64,,,,,,"
30,三,4E09,in_simplified_set,unicode_encoded,san,20,3,"20,-64,0,-11,-11,8,-11,-64,0,-11,-4,8,-4,-64,0,-12,4,8,4,-64,-64,,,,,,"
