id,char,unicode,n_points,n_strokes,stroke
1,一,4E00,8,1,"8,-64,0,-10,0,12,0,-64,-64,,,,,,"
2,元,5143,30,4,"30,-64,0,-6,-13,3,-13,-64,0,-9,-9,8,-9,-64,0,-1,-9,1,2,-3,6,-3,17,-64,0,0,-6,-8,3,-64,-64,,,,,,"
3,天,5929,44,6,"44,-64,0,-8,-14,7,-14,-64,0,-9,-9,10,-10,-64,0,0,-14,0,1,-4,3,-8,14,-64,0,0,1,3,4,3,15,-64,0,0,-7,-10,1,-64,0,0,-7,10,0,-64,-64,,,,,,"
4,吏,540F,50,6,"50,-64,0,-4,-17,-1,-10,1,-16,-64,0,-6,-9,4,-9,-64,0,-7,-15,-6,-4,-2,-3,3,-4,5,-14,-64,0,-1,-10,-3,11,-64,0,2,-1,4,5,-3,13,-64,0,-1,1,4,10,4,17,-64,-64,,,,,,"
5,上,4E0A,18,2,"18,-64,0,-8,-5,6,-5,-64,0,-13,0,-5,4,4,4,11,-1,-64,-64,,,,,,"
6,帝,5E1D,54,8,"54,-64,0,-8,-14,8,-14,-64,0,-1,-14,-2,18,-64,0,-7,-14,-1,-5,5,-14,-64,0,-9,-8,-9,0,-64,0,-9,-4,7,-4,7,-4,-64,0,7,-8,7,2,-64,0,-1,0,-10,11,-64,0,-1,0,7,12,-64,-64,,,,,,"
7,旁,65C1,56,9,"56,-64,0,-7,-14,9,-14,-64,0,-9,-9,9,-10,-64,0,-9,-14,-9,1,-64,0,7,-15,8,1,-64,0,-2,-7,-1,18,-64,0,-7,-3,-7,4,-64,0,-7,0,4,-1,-64,0,4,-4,4,3,-64,0,-1,4,6,12,-64,-64,,,,,,"
8,下,4E0B,18,2,"18,-64,0,-13,-1,-5,-5,3,-5,10,-1,-64,0,-9,3,4,3,-64,-64,,,,,,"
9,示,793A,20,3,"20,-64,0,-7,-12,6,-13,-64,0,-10,-8,9,-9,-64,0,-1,-8,-1,16,-64,-64,,,,,,"
10,祜,795C,64,9,"64,-64,0,-9,-12,-2,-12,-64,0,-10,-8,-1,-8,-64,0,-5,-8,-5,2,-64,0,-9,-6,-9,-2,-64,0,-2,-6,-2,-3,-64,0,-2,0,8,0,-64,0,2,-5,3,-3,3,3,-64,0,-2,2,-1,10,3,12,7,10,8,2,-64,0,-2,6,7,6,-64,-64,,,,,,"
11,禮,79AE,106,14,"106,-64,0,-2,-15,-1,2,-64,0,-6,-13,-4,-13,-64,0,-6,-11,-3,-11,-64,0,-6,-9,-3,-9,-64,0,-5,-15,-5,-8,-64,0,0,-13,2,-13,-64,0,0,-11,3,-11,-64,0,1,-15,1,-9,-64,0,4,-15,4,-10,-64,0,-8,-14,-7,-7,-2,-4,9,-13,-64,0,-6,-1,3,-1,-64,0,-1,2,-6,4,-5,8,-2,10,1,8,3,5,-1,2,-64,0,-4,5,0,5,-64,0,-4,9,-6,14,3,14,0,9,0,9,-64,-64,,,,,,"
12,禄,7984,66,10,"66,-64,0,-5,-13,6,-13,-64,0,0,-13,0,-1,-64,0,-5,-11,-5,-5,-64,0,-5,-8,5,-8,-64,0,5,-11,5,-5,-64,0,0,-1,-7,5,0,13,-64,0,0,-1,5,5,0,13,-64,0,0,2,0,7,-64,0,-11,0,-11,9,-64,0,9,-1,9,10,-64,-64,,,,,,"
