id,char,unicode,n_points,n_strokes,stroke
1,安,5B89,50,7,"50,-64,0,2,-12,-7,-6,-8,9,-64,0,2,-12,8,-6,8,9,-64,0,2,-7,3,7,-1,8,-2,12,3,10,1,13,-64,0,-2,-3,5,-4,4,-1,-2,1,-4,3,-64,0,-2,-3,-2,4,-64,-64,,,,,,"
2,八,516B,22,4,"22,-64,0,-9,-6,-6,0,-7,4,-12,8,-64,0,3,-11,1,-1,2,5,9,10,-64,-64,,,,,,"
3,巴,5DF4,56,8,"56,-64,0,-10,-13,-5,-12,-64,0,-6,-12,-5,7,2,8,3,14,0,14,-7,11,-5,16,-64,0,-6,-9,-1,-8,0,-3,2,0,5,1,6,5,-64,0,-2,-3,-1,-1,-64,0,1,0,1,2,-64,0,3,1,3,3,-64,-64,,,,,,"
4,癹,,66,12,"66,-64,0,-2,-13,-2,7,-64,0,-11,-16,-4,-9,-64,0,-7,-16,-6,-4,-64,0,-4,-13,-6,-4,-64,0,8,-3,3,0,-64,0,1,-3,4,7,-64,0,5,-4,4,7,-64,0,-3,-2,-7,5,-1,12,-64,0,9,-9,8,-3,-64,0,-2,2,-7,10,-8,18,-64,-64,,,,,,"
5,霸,9738,100,11,"100,-64,0,-7,-12,-7,-7,-2,-6,-1,-7,-1,-14,-64,0,-6,-10,-2,-11,-64,0,-4,-6,-4,15,-64,0,-5,-4,-6,-3,-7,0,-5,1,-2,0,-1,-3,-3,-4,-64,0,-4,2,-7,3,-7,4,-6,7,-3,7,0,5,0,3,-4,2,-64,0,-9,11,-4,7,0,11,-64,0,3,-6,2,0,2,4,3,11,-64,0,1,-9,5,-5,6,-2,7,4,6,8,2,11,-1,14,-64,0,4,-1,4,3,-64,-64,,,,,,"
6,白,767D,24,4,"24,-64,0,0,-11,-6,0,-3,7,3,7,7,3,5,-2,0,-11,-64,0,-7,0,4,-2,-64,-64,,,,,,"
7,百,767E,38,7,"38,-64,0,-7,-14,6,-15,-64,0,-8,-11,-6,5,6,5,-64,0,-1,-15,-2,-6,-7,-2,6,-2,-64,0,5,-11,6,5,-64,0,-1,-12,5,-3,-64,-64,,,,,,"
8,柏,67CF,42,7,"42,-64,0,1,-3,-4,-7,-1,-14,3,-10,1,-3,1,-3,-64,0,-4,-7,3,-10,3,-10,-64,0,1,1,0,11,-64,0,-4,1,5,11,-64,0,5,0,-3,11,-64,-64,,,,,,"
9,敗,6557,90,14,"90,-64,0,-1,-19,-5,-10,-5,-6,-3,0,-64,0,-2,-18,0,-16,-64,0,-3,-15,-1,-14,-64,0,-2,-9,-4,-5,-64,0,-2,-4,-2,-1,-64,0,2,-17,4,-11,4,-7,2,-1,-64,0,1,-17,0,-12,-64,0,1,-9,3,-6,-64,0,1,-4,2,-1,-64,0,8,-17,8,-10,6,-4,4,2,-64,0,7,-3,9,1,10,8,-64,0,10,-4,8,1,6,3,-64,-64,,,,,,"
10,般,822C,58,10,"58,-64,0,-2,-12,3,-2,5,6,2,15,-64,0,5,-9,9,1,-64,0,1,-5,6,-6,-64,0,4,0,8,-1,-64,0,-2,-6,-7,0,-64,0,-3,-4,2,11,-64,0,-1,5,-3,10,-6,15,-64,0,-3,3,-4,9,-1,12,-64,-64,,,,,,"
11,伴ban,,62,11,"62,-64,0,-10,-13,8,-13,-64,0,-5,-12,-5,-9,-10,-4,-64,0,-5,-9,0,-4,-64,0,-5,-7,-5,-1,-8,7,-64,0,-4,-3,-1,7,-64,0,4,-12,2,-3,-64,0,4,-10,8,-3,-64,0,4,-10,4,-2,1,5,-64,0,5,-2,6,7,-64,-64,,,,,,"
12,邦,90A6,62,12,"62,-64,0,-1,-13,0,13,-64,0,-5,-12,-1,-6,-64,0,4,-12,-1,-7,-64,0,-5,-7,-1,-2,-64,0,4,-7,-1,-2,-64,0,-5,6,4,5,-64,0,-4,9,4,8,-64,0,-5,12,5,12,-64,0,-5,6,-5,12,-64,0,4,5,5,12,-64,-64,,,,,,"
13,勹,52F9,50,7,"50,-64,0,-1,-16,1,-13,3,-17,-64,0,1,-13,0,-7,5,-10,-64,0,7,-15,9,-8,-64,0,9,-11,11,-14,-64,0,0,2,-2,-2,6,-3,10,-1,10,3,4,7,5,11,10,8,9,13,-64,-64,,,,,,"
14,保,4FDD,58,8,"58,-64,0,-1,-6,8,-6,-64,0,-1,-13,1,-9,5,-10,4,-14,-1,-13,-64,0,3,-9,3,-2,-64,0,-4,-13,-1,-3,2,2,0,8,0,15,-64,0,-3,-8,-5,0,-2,2,2,2,7,0,5,-4,-64,0,4,-2,7,0,-64,-64,,,,,,"
15,寳,5BF3,94,14,"94,-64,0,0,-11,-6,-5,-7,6,-64,0,0,-11,8,-5,9,4,-64,0,-3,-5,3,-5,-64,0,-2,-5,-2,2,-64,0,2,-5,2,2,-64,0,-4,-1,-2,-1,-64,0,2,-1,5,-1,-64,0,-4,2,5,2,-64,0,0,8,-2,4,-4,9,-3,13,-1,14,-1,12,-64,0,0,7,1,4,5,9,5,13,2,15,1,13,-64,0,1,9,5,12,-64,0,-1,9,-4,11,-64,-64,,,,,,"
16,勽,52FD,32,5,"32,-64,0,5,-16,-2,-7,5,10,12,3,13,-7,5,-16,-64,0,5,-12,9,-2,5,0,7,5,-64,0,6,-8,1,-1,-64,-64,,,,,,"
17,報,5831,88,13,"88,-64,0,-3,-14,-6,-9,-64,0,-3,-14,-1,-10,-64,0,-3,-13,-3,-7,-7,-1,-4,5,-5,12,-64,0,-8,6,-5,9,-64,0,-5,9,-2,7,-64,0,-3,-7,0,-2,-3,4,-64,0,-6,0,2,-5,-64,0,2,-9,-1,-6,-64,0,2,-14,4,0,0,4,1,8,5,5,1,13,-64,0,5,-10,5,-9,11,-6,10,4,-64,0,7,-15,7,-3,-64,-64,,,,,,"
