jgw_id,char,unicode,pua,otf_wh,jgw_wh,log_wh_diff,status_wh
1,安,5B89,U+E22E,0.66,0.64,0.013363961557981502,OK
2,八,516B,U+E03A,1.06,1.0,0.02530586526477026,OK
3,巴,5DF4,U+E4B0,0.53,0.55,0.016086819893454805,OK
4,癹,,,,,,SEVERE
5,霸,9738,U+E45D,0.63,0.55,0.0589778599593378,OK
6,白,767D,U+E248,0.69,0.78,0.053245511953225154,OK
7,百,767E,U+E10E,0.68,0.7,0.012589127308020467,OK
8,柏,67CF,U+E1B2,0.37,0.36,0.011899223299707783,OK
9,敗,6557,U+E0F2,0.62,0.56,0.044203662492053396,OK
10,般,822C,U+E280,0.59,0.59,0.0,OK
11,伴ban,,,,,,SEVERE
12,邦,90A6,U+E1EC,0.44,0.38,0.0636690798693773,OK
13,勹,52F9,U+E29F,0.46,0.43,0.029289376101987598,OK
14,保,4FDD,U+E24B,0.47,0.45,0.01888534416037372,OK
15,寳,5BF3,U+E22F,0.61,0.62,0.007061854487486835,OK
16,勽,52FD,U+E2A1,0.62,0.58,0.028963695935316648,OK
17,報,5831,U+E2F9,0.68,0.68,0.0,OK
18,卑,5351,U+E434,0.45,0.35,0.10914446942506807,OK
19,北,5317,U+E26D,0.71,0.73,0.012064511401380614,OK
20,貝,8C9D,U+E1E2,0.67,0.65,0.013161446057970908,OK
21,备bei,,,,,,SEVERE
22,狽,72FD,U+E2DC,0.44,0.41,0.030668819766451964,OK
23,誖,8A96,U+E0A4,0.67,0.65,0.013161446057970908,OK
24,皀,7680,U+E182,0.57,0.59,0.014977155969652801,OK
25,鼻,9F3B,U+E43A,0.39,0.37,0.02286288295950426,OK
26,匕,5315,U+E268,0.33,0.59,0.25233807176425666,OK_LOOSE
27,比,6BD4,U+E26C,0.64,0.39,0.21511536695738795,OK_LOOSE
28,妣,59A3,U+E36D,0.27,0.3,0.04575749056067506,OK
29,啚,555A,U+E1A1,0.59,0.7,0.07424602837211264,OK
30,鄙,9119,U+E1ED,0.55,0.24,0.36015144778263786,WARN
31,币,5E01,U+E1D3,0.62,0.54,0.05999792967528537,OK
