glyph_id,modern_char,unicode,char_form,encoding_status,pinyin,identity_confidence,identity_note,composition_note,n_source_variants,pua_legacy,previous_label_v0_2
1,一,4E00,in_simplified_set,unicode_encoded,yi,high,,,4,,一
2,元,5143,in_simplified_set,unicode_encoded,yuan,high,,,4,,元
3,天,5929,in_simplified_set,unicode_encoded,tian,high,,,4,,天
4,吏,540F,in_simplified_set,unicode_encoded,li,high,,,4,,吏
5,上,4E0A,in_simplified_set,unicode_encoded,shang,high,,,4,,上
6,帝,5E1D,in_simplified_set,unicode_encoded,di,high,,,4,,帝
7,旁,65C1,in_simplified_set,unicode_encoded,pang,high,,,4,,旁
8,下,4E0B,in_simplified_set,unicode_encoded,xia,high,,,4,,下
9,示,793A,in_simplified_set,unicode_encoded,shi,high,,,4,,示
10,祜,795C,in_simplified_set,unicode_encoded,hu,high,,,3,,祜
11,禮,79AE,in_simplified_set,unicode_encoded,li,high,,,2,,禮
12,禄,7984,in_simplified_set,unicode_encoded,lu,high,,,4,,禄
13,祥,7965,in_simplified_set,unicode_encoded,xiang,high,,,4,,祥
14,祉,7949,in_simplified_set,unicode_encoded,zhi,high,,,1,,祉
15,福,798F,in_simplified_set,unicode_encoded,fu,high,,,4,,福
16,祐,7950,in_simplified_set,unicode_encoded,you,high,,,4,,祐
17,祭,796D,in_simplified_set,unicode_encoded,ji,high,,,4,,祭
18,祀,7940,in_simplified_set,unicode_encoded,si,high,,,4,,祀
19,祖,7956,in_simplified_set,unicode_encoded,zu,high,,,4,,祖
20,祏,794F,in_simplified_set,unicode_encoded,shi,high,,,4,,祏
21,祠,7960,in_simplified_set,unicode_encoded,ci,high,,,2,,祠
22,禘,7998,in_simplified_set,unicode_encoded,di,high,,,2,,禘
23,祝,795D,in_simplified_set,unicode_encoded,zhu,high,,,4,,祝
24,祓,7953,traditional_or_variant,unicode_encoded,fu,high,,,2,,ba
25,祈,7948,in_simplified_set,unicode_encoded,qi,high,,,4,,祈
26,禦,79A6,traditional_or_variant,unicode_encoded,yu,high,"author rules that the form recorded in the source hand copy takes precedence; the v0.2 label 籞 is superseded by 禦 [author determination, 2026-08-10]",,3,,籞
27,禍,798D,in_simplified_set,unicode_encoded,huo,high,,,4,,禍
28,祟,795F,in_simplified_set,unicode_encoded,sui,high,,,4,,祟
29,禫,79AB,in_simplified_set,unicode_encoded,dan,high,,,1,,禫
30,三,4E09,in_simplified_set,unicode_encoded,san,high,,,4,,三
31,王,738B,in_simplified_set,unicode_encoded,wang,high,,,4,,王
32,玉,7389,in_simplified_set,unicode_encoded,yu,high,,,4,,玉
33,玨,73A8,in_simplified_set,unicode_encoded,jue,high,,,4,,玨
34,氣,6C23,in_simplified_set,unicode_encoded,qi,high,,,4,,氣
35,中,4E2D,in_simplified_set,unicode_encoded,zhong,high,,,4,,中
36,屮,5C6E,in_simplified_set,unicode_encoded,che,high,,,3,,屮
37,屯,5C6F,in_simplified_set,unicode_encoded,tun,high,,,4,,屯
38,每,6BCF,in_simplified_set,unicode_encoded,mei,high,,,4,,每
39,萑,8411,traditional_or_variant,unicode_encoded,huan,high,,,4,,zhui
40,萌,840C,in_simplified_set,unicode_encoded,meng,high,,,3,,萌
41,兹,5179,in_simplified_set,unicode_encoded,zi,high,,,4,,兹
42,蔡,8521,in_simplified_set,unicode_encoded,cai,high,,,1,,蔡
43,茀,8300,in_simplified_set,unicode_encoded,fu,high,,,1,,茀
44,若,82E5,in_simplified_set,unicode_encoded,ruo,high,,,4,,若
45,苴,82F4,in_simplified_set,unicode_encoded,ju,high,,,2,,苴
46,芻,82BB,in_simplified_set,unicode_encoded,chu,high,,,4,,芻
47,薶,85B6,in_simplified_set,unicode_encoded,mai,high,,,4,,薶
48,折,6298,in_simplified_set,unicode_encoded,zhe,high,,,3,,折
49,艿,827F,traditional_or_variant,unicode_encoded,nai,high,,,3,,reng
50,蒿,84BF,in_simplified_set,unicode_encoded,hao,high,,,3,,蒿
51,春,6625,in_simplified_set,unicode_encoded,chun,high,,,4,,春
52,蓐,84D0,in_simplified_set,unicode_encoded,ru,high,,,4,,蓐
53,莫,83AB,in_simplified_set,unicode_encoded,mo,high,,,4,,莫
54,葬,846C,in_simplified_set,unicode_encoded,zang,high,,,1,,葬
