glyph_id,modern_char,unicode,char_form,encoding_status,pinyin,svg
1,一,4E00,in_simplified_set,unicode_encoded,yi,0001.svg
2,元,5143,in_simplified_set,unicode_encoded,yuan,0002.svg
3,天,5929,in_simplified_set,unicode_encoded,tian,0003.svg
4,吏,540F,in_simplified_set,unicode_encoded,li,0004.svg
5,上,4E0A,in_simplified_set,unicode_encoded,shang,0005.svg
6,帝,5E1D,in_simplified_set,unicode_encoded,di,0006.svg
7,旁,65C1,in_simplified_set,unicode_encoded,pang,0007.svg
8,下,4E0B,in_simplified_set,unicode_encoded,xia,0008.svg
9,示,793A,in_simplified_set,unicode_encoded,shi,0009.svg
10,祜,795C,in_simplified_set,unicode_encoded,hu,0010.svg
11,禮,79AE,in_simplified_set,unicode_encoded,li,0011.svg
12,禄,7984,in_simplified_set,unicode_encoded,lu,0012.svg
13,祥,7965,in_simplified_set,unicode_encoded,xiang,0013.svg
14,祉,7949,in_simplified_set,unicode_encoded,zhi,0014.svg
15,福,798F,in_simplified_set,unicode_encoded,fu,0015.svg
16,祐,7950,in_simplified_set,unicode_encoded,you,0016.svg
17,祭,796D,in_simplified_set,unicode_encoded,ji,0017.svg
18,祀,7940,in_simplified_set,unicode_encoded,si,0018.svg
19,祖,7956,in_simplified_set,unicode_encoded,zu,0019.svg
20,祏,794F,in_simplified_set,unicode_encoded,shi,0020.svg
21,祠,7960,in_simplified_set,unicode_encoded,ci,0021.svg
22,禘,7998,in_simplified_set,unicode_encoded,di,0022.svg
23,祝,795D,in_simplified_set,unicode_encoded,zhu,0023.svg
24,祓,7953,traditional_or_variant,unicode_encoded,fu,0024.svg
25,祈,7948,in_simplified_set,unicode_encoded,qi,0025.svg
26,禦,79A6,traditional_or_variant,unicode_encoded,yu,0026.svg
27,禍,798D,in_simplified_set,unicode_encoded,huo,0027.svg
28,祟,795F,in_simplified_set,unicode_encoded,sui,0028.svg
29,禫,79AB,in_simplified_set,unicode_encoded,dan,0029.svg
30,三,4E09,in_simplified_set,unicode_encoded,san,0030.svg
31,王,738B,in_simplified_set,unicode_encoded,wang,0031.svg
32,玉,7389,in_simplified_set,unicode_encoded,yu,0032.svg
33,玨,73A8,in_simplified_set,unicode_encoded,jue,0033.svg
34,氣,6C23,in_simplified_set,unicode_encoded,qi,0034.svg
35,中,4E2D,in_simplified_set,unicode_encoded,zhong,0035.svg
36,屮,5C6E,in_simplified_set,unicode_encoded,che,0036.svg
37,屯,5C6F,in_simplified_set,unicode_encoded,tun,0037.svg
38,每,6BCF,in_simplified_set,unicode_encoded,mei,0038.svg
39,萑,8411,traditional_or_variant,unicode_encoded,huan,0039.svg
40,萌,840C,in_simplified_set,unicode_encoded,meng,0040.svg
41,兹,5179,in_simplified_set,unicode_encoded,zi,0041.svg
42,蔡,8521,in_simplified_set,unicode_encoded,cai,0042.svg
43,茀,8300,in_simplified_set,unicode_encoded,fu,0043.svg
44,若,82E5,in_simplified_set,unicode_encoded,ruo,0044.svg
45,苴,82F4,in_simplified_set,unicode_encoded,ju,0045.svg
46,芻,82BB,in_simplified_set,unicode_encoded,chu,0046.svg
47,薶,85B6,in_simplified_set,unicode_encoded,mai,0047.svg
48,折,6298,in_simplified_set,unicode_encoded,zhe,0048.svg
49,艿,827F,traditional_or_variant,unicode_encoded,nai,0049.svg
50,蒿,84BF,in_simplified_set,unicode_encoded,hao,0050.svg
51,春,6625,in_simplified_set,unicode_encoded,chun,0051.svg
52,蓐,84D0,in_simplified_set,unicode_encoded,ru,0052.svg
53,莫,83AB,in_simplified_set,unicode_encoded,mo,0053.svg
54,葬,846C,in_simplified_set,unicode_encoded,zang,0054.svg
55,小,5C0F,in_simplified_set,unicode_encoded,xiao,0055.svg
56,少,5C11,in_simplified_set,unicode_encoded,shao,0056.svg
57,八,516B,in_simplified_set,unicode_encoded,ba,0057.svg
58,分,5206,in_simplified_set,unicode_encoded,fen,0058.svg
59,曾,66FE,in_simplified_set,unicode_encoded,ceng,0059.svg
60,遂,9042,traditional_or_variant,unicode_encoded,sui,0060.svg
61,介,4ECB,in_simplified_set,unicode_encoded,jie,0061.svg
62,兆,5146,in_simplified_set,unicode_encoded,zhao,0062.svg
63,公,516C,in_simplified_set,unicode_encoded,gong,0063.svg
64,必,5FC5,in_simplified_set,unicode_encoded,bi,0064.svg
65,余,4F59,in_simplified_set,unicode_encoded,yu,0065.svg
66,番,756A,in_simplified_set,unicode_encoded,fan,0066.svg
67,牛,725B,in_simplified_set,unicode_encoded,niu,0067.svg
68,牡,7261,in_simplified_set,unicode_encoded,mu,0068.svg
69,犅,7285,in_simplified_set,unicode_encoded,gang,0069.svg
70,牝,725D,in_simplified_set,unicode_encoded,pin,0070.svg
71,牲,7272,in_simplified_set,unicode_encoded,sheng,0071.svg
72,牢,7262,in_simplified_set,unicode_encoded,lao,0072.svg
73,物,7269,in_simplified_set,unicode_encoded,wu,0073.svg
74,告,544A,in_simplified_set,unicode_encoded,gao,0074.svg
75,口,53E3,in_simplified_set,unicode_encoded,kou,0075.svg
76,喙,5599,in_simplified_set,unicode_encoded,hui,0076.svg
77,吹,5439,in_simplified_set,unicode_encoded,chui,0077.svg
78,名,540D,in_simplified_set,unicode_encoded,ming,0078.svg
79,君,541B,in_simplified_set,unicode_encoded,jun,0079.svg
80,命,547D,in_simplified_set,unicode_encoded,ming,0080.svg
81,召,53EC,in_simplified_set,unicode_encoded,zhao,0081.svg
82,問,554F,in_simplified_set,unicode_encoded,wen,0082.svg
83,唯,552F,in_simplified_set,unicode_encoded,wei,0083.svg
84,启,542F,in_simplified_set,unicode_encoded,qi,0084.svg
85,咸,54B8,in_simplified_set,unicode_encoded,xian,0085.svg
86,右,53F3,in_simplified_set,unicode_encoded,you,0086.svg
87,吉,5409,in_simplified_set,unicode_encoded,ji,0087.svg
88,周,5468,in_simplified_set,unicode_encoded,zhou,0088.svg
89,唐,5510,in_simplified_set,unicode_encoded,tang,0089.svg
90,敋,654B,traditional_or_variant,unicode_encoded,ge,0090.svg
91,吝,541D,in_simplified_set,unicode_encoded,lin,0091.svg
92,各,5404,in_simplified_set,unicode_encoded,ge,0092.svg
93,單,55AE,in_simplified_set,unicode_encoded,dan,0093.svg
94,哭,54ED,in_simplified_set,unicode_encoded,ku,0094.svg
95,喪,55AA,in_simplified_set,unicode_encoded,sang,0095.svg
96,逺,903A,traditional_or_variant,unicode_encoded,yuan,0096.svg
97,止,6B62,in_simplified_set,unicode_encoded,zhi,0097.svg
98,前,524D,in_simplified_set,unicode_encoded,qian,0098.svg
99,歷,6B77,in_simplified_set,unicode_encoded,li,0099.svg
100,歸,6B78,in_simplified_set,unicode_encoded,gui,0100.svg
101,登,767B,in_simplified_set,unicode_encoded,deng,0101.svg
102,癹,7679,traditional_or_variant,unicode_encoded,ba,0102.svg
103,步,6B65,in_simplified_set,unicode_encoded,bu,0103.svg
104,歳,6B73,in_simplified_set,unicode_encoded,sui,0104.svg
105,此,6B64,in_simplified_set,unicode_encoded,ci,0105.svg
106,正,6B63,in_simplified_set,unicode_encoded,zheng,0106.svg
107,辵,8FB5,in_simplified_set,unicode_encoded,chuo,0107.svg
108,征,5F81,in_simplified_set,unicode_encoded,zheng,0108.svg
109,遝,905D,in_simplified_set,unicode_encoded,ta,0109.svg
110,颌,988C,traditional_or_variant,unicode_encoded,he,0110.svg
111,逆,9006,in_simplified_set,unicode_encoded,ni,0111.svg
112,遘,9058,in_simplified_set,unicode_encoded,gou,0112.svg
113,通,901A,in_simplified_set,unicode_encoded,tong,0113.svg
114,還,9084,in_simplified_set,unicode_encoded,hai,0114.svg
115,遣,9063,in_simplified_set,unicode_encoded,qian,0115.svg
116,逹,9039,in_simplified_set,unicode_encoded,da,0116.svg
117,追,8FFD,in_simplified_set,unicode_encoded,zhui,0117.svg
118,逐,9010,in_simplified_set,unicode_encoded,zhu,0118.svg
119,至,81F3,traditional_or_variant,unicode_encoded,zhi,0119.svg
120,逴,9034,in_simplified_set,unicode_encoded,chuo,0120.svg
121,迂,8FC2,traditional_or_variant,unicode_encoded,yu,0121.svg
122,進,9032,in_simplified_set,unicode_encoded,jin,0122.svg
123,途,9014,in_simplified_set,unicode_encoded,tu,0123.svg
124,德,5FB7,in_simplified_set,unicode_encoded,de,0124.svg
125,復,5FA9,traditional_or_variant,unicode_encoded,fu,0125.svg
126,往,5F80,in_simplified_set,unicode_encoded,wang,0126.svg
127,彶,5F76,in_simplified_set,unicode_encoded,ji,0127.svg
128,逢,9022,traditional_or_variant,unicode_encoded,feng,0128.svg
129,避,907F,in_simplified_set,unicode_encoded,bi,0129.svg
130,得,5F97,in_simplified_set,unicode_encoded,de,0130.svg
131,律,5F8B,in_simplified_set,unicode_encoded,lv,0131.svg
132,御,5FA1,in_simplified_set,unicode_encoded,yu,0132.svg
133,延,5EF6,traditional_or_variant,unicode_encoded,yan,0133.svg
134,行,884C,in_simplified_set,unicode_encoded,xing,0134.svg
135,衛,885B,traditional_or_variant,unicode_encoded,wei,0135.svg
136,齒,9F52,traditional_or_variant,unicode_encoded,chi,0136.svg
137,足,8DB3,in_simplified_set,unicode_encoded,zu,0137.svg
138,跽,8DFD,in_simplified_set,unicode_encoded,ji,0138.svg
139,品,54C1,in_simplified_set,unicode_encoded,pin,0139.svg
140,龠,9FA0,in_simplified_set,unicode_encoded,yue,0140.svg
141,龢,9FA2,in_simplified_set,unicode_encoded,he,0141.svg
142,册,518C,in_simplified_set,unicode_encoded,ce,0142.svg
143,嗣,55E3,in_simplified_set,unicode_encoded,si,0143.svg
144,星,661F,traditional_or_variant,unicode_encoded,xing,0144.svg
145,嚚,569A,in_simplified_set,unicode_encoded,yin,0145.svg
146,舌,820C,in_simplified_set,unicode_encoded,she,0146.svg
