id,char,unicode,svg
1,一,4E00,0001.svg
2,元,5143,0002.svg
3,天,5929,0003.svg
4,吏,540F,0004.svg
5,上,4E0A,0005.svg
6,帝,5E1D,0006.svg
7,旁,65C1,0007.svg
8,下,4E0B,0008.svg
9,示,793A,0009.svg
10,祜,795C,0010.svg
11,禮,79AE,0011.svg
12,禄,7984,0012.svg
13,祥,7965,0013.svg
14,祉,7949,0014.svg
15,福,798F,0015.svg
16,祐,7950,0016.svg
17,祭,796D,0017.svg
18,祀,7940,0018.svg
19,祖,7956,0019.svg
20,祏,794F,0020.svg
21,祠,7960,0021.svg
22,禘,7998,0022.svg
23,祝,795D,0023.svg
24,ba,,0024.svg
25,祈,7948,0025.svg
26,籞,7C5E,0026.svg
27,禍,798D,0027.svg
28,祟,795F,0028.svg
29,禫,79AB,0029.svg
30,三,4E09,0030.svg
31,王,738B,0031.svg
32,玉,7389,0032.svg
33,玨,73A8,0033.svg
34,氣,6C23,0034.svg
35,中,4E2D,0035.svg
36,屮,5C6E,0036.svg
37,屯,5C6F,0037.svg
38,每,6BCF,0038.svg
39,zhui,,0039.svg
40,萌,840C,0040.svg
41,兹,5179,0041.svg
42,蔡,8521,0042.svg
43,茀,8300,0043.svg
44,若,82E5,0044.svg
45,苴,82F4,0045.svg
46,芻,82BB,0046.svg
47,薶,85B6,0047.svg
48,折,6298,0048.svg
49,reng,,0049.svg
50,蒿,84BF,0050.svg
51,春,6625,0051.svg
52,蓐,84D0,0052.svg
53,莫,83AB,0053.svg
54,葬,846C,0054.svg
55,小,5C0F,0055.svg
56,少,5C11,0056.svg
57,八,516B,0057.svg
58,分,5206,0058.svg
59,曾,66FE,0059.svg
60,sui,,0060.svg
61,介,4ECB,0061.svg
62,兆,5146,0062.svg
63,公,516C,0063.svg
64,必,5FC5,0064.svg
65,余,4F59,0065.svg
66,番,756A,0066.svg
67,牛,725B,0067.svg
68,牡,7261,0068.svg
69,犅,7285,0069.svg
70,牝,725D,0070.svg
71,牲,7272,0071.svg
72,牢,7262,0072.svg
73,物,7269,0073.svg
74,告,544A,0074.svg
75,口,53E3,0075.svg
76,喙,5599,0076.svg
77,吹,5439,0077.svg
78,名,540D,0078.svg
79,君,541B,0079.svg
80,命,547D,0080.svg
81,召,53EC,0081.svg
82,問,554F,0082.svg
83,唯,552F,0083.svg
84,启,542F,0084.svg
85,咸,54B8,0085.svg
86,右,53F3,0086.svg
87,吉,5409,0087.svg
88,周,5468,0088.svg
89,唐,5510,0089.svg
90,e,,0090.svg
91,吝,541D,0091.svg
92,各,5404,0092.svg
